Ensembl_ID	PD1-001	PD1-003	PD1-004	PD1-005	PD1-011	PD1-017	PD1-019	PD1-020	PD1-027
ENSG00000006638	31	254	61	31	237	146	376	102	217
ENSG00000006652	156	1010	790	377	1517	815	83	1400	741
ENSG00000006659	0	4	0	0	0	0	31	0	0
ENSG00000006695	168.83	561.19	610.2	183.52	1165.02	567.31	161.98	1092.42	836.36
ENSG00000006704	1088	2138	717	506	1564	1657	377	1296	3594
ENSG00000006712	854	1698	910	741	2491	1188	161	1235	1629
ENSG00000006715	276	2800	1497	842	3666	2182	71	1837	1203
ENSG00000006740	31	1502	186	99	427	129	308	211	1290
ENSG00000006744	1692	3267	2509	1192	4407	2509	366	5406	4685
ENSG00000006747	95	108	94	40	283	16	151	246	76
ENSG00000006756	696	1146	396	229	876.96	638	264	916	1303
ENSG00000006757	154	759	147	110	356	224	46	308	333
ENSG00000006788	3.05	63.16	1.01	19.65	39.21	0	594.52	11.96	0
ENSG00000006831	263	863	493	338	1074	5418	91	786	452
ENSG00000006837	6.8	62.91	58.03	76.99	218.14	34.93	126.63	73.77	37.28
ENSG00000007001	2	12	6	7	18	54	70	8	10
ENSG00000007038	319	116	2	17	173	158	69	602	1
ENSG00000007047	1682	1933	1007	562	1923	2250	459	1346	2810
ENSG00000007062	0	31	201	10	310	68	56	148	427
ENSG00000007080	1094	2272	654	773	1843	2046	130	1065	2224
ENSG00000007129	3	21	73	32	119	26	100	10	8
ENSG00000007168	287	2432	2564	1024	5287.99	1567	128	3172	2077
ENSG00000007171	13	257	228	41	105	3058	145.88	25	218
ENSG00000007174	50	147	27	9	113	24	1171.69	58.29	25
ENSG00000007202	5034.41	27031.32	12173.38	10279.48	22386.71	27372.46	701.58	20020.69	16559.77
ENSG00000007216	14	111	9	39	92	30	175	21	6
ENSG00000007237	187	471	427	217	1157	338	134	773	132
ENSG00000007255	295	246	162	134	236	403	38	418	487
ENSG00000007264	13	113	144	67	323	97	184	44	271
ENSG00000007306	3	1	0	0	3	4	77	0	0
ENSG00000007312	3	124	138	36	414	64	71	160	1
ENSG00000007314	11	819	74	39	426	33	532	51	22
ENSG00000007341	259.98	870.81	821.9	394.37	1359.02	761	136.37	780.77	552.84
ENSG00000007350	0	432	6	15	9	9	173	2	0
ENSG00000007372	108	5	168	180	336	128	247	556	229
ENSG00000007376	699	798	344	289	593	832	102	650	1082
ENSG00000007384	1169	1003	491	472	1717	2409	438	1265	760
ENSG00000007392	2137	5431	8306	4927	16509	5797	777	8689	9888
ENSG00000007402	39	912.99	82.35	73.27	178.22	14	64.67	65.41	742.33
ENSG00000007516	130	252	25	144	142	54	102	91	61
ENSG00000007520	946	1143	619	424	1213	889	135	1194	1290
ENSG00000007541	797.02	1455.74	759	608.1	1394	1768.59	248.81	905.68	2434.7
ENSG00000007545	1296.26	1302.27	1879.28	1132.33	3288.45	2433.55	330.23	2214.66	5697.49
